17,47
88,81
10,65
92,84
96,13
70,41
25,24
10,40
53,30
55,67
11,46
85,34
0,56
59,25
60,92
72,65
86,95
2,34
43,63
91,54
14,37
54,13
50,64
57,96
59,46
67,93
99,98
24,67
90,3
56,12
91,21
27,5
72,55
10,76
75,73
7,65
100,95
93,24
40,33
10,48
24,94
87,56
6,35
66,58
37,32
34,65
20,43
94,50
72,68
6,20
69,18
68,52
79,10
17,21
84,58
68,57
5,96
26,76
16,3
35,20
50,66
23,30
91,3
60,70
93,75
83,17
20,61
16,91
13,5
85,10
69,21
72,24
5,77
68,87
83,88
90,61
56,67
76,52
25,9
42,96
28,31
15,70
50,86
37,17
24,68
10,70
39,13
19,3
63,2
91,87
93,33
17,91
77,2
99,30
51,80
19,69
65,68
55,95
12,31
77,90
