98,57,62
44,84,81
51,55,53
89,77,59
77,44,99
58,90,12
87,26,13
27,17,84
44,41,44
84,18,76
94,52,17
16,61,30
97,46,97
71,74,20
62,63,60
92,72,49
33,14,75
21,64,67
82,48,90
55,50,23
92,72,49
37,32,67
87,43,78
92,72,49
15,28,72
83,91,73
19,87,79
49,35,36
69,99,15
55,88,11
10,20,66
98,57,62
64,76,33
96,30,35
64,76,33
23,39,81
74,22,54
40,40,40
49,35,36
62,74,38
30,18,18
38,40,14
69,28,50
52,27,43
53,37,50
44,84,81
75,24,22
96,74,19
85,73,79
42,33,91
16,21,81
28,19,34
11,37,96
74,91,93
66,28,99
60,43,82
68,30,71
55,88,11
49,27,99
60,36,90
71,74,20
10,94,57
43,33,99
86,50,80
92,63,40
23,39,81
73,30,28
61,47,54
94,35,79
32,53,29
49,27,99
64,76,33
53,17,49
70,79,18
28,19,34
84,22,99
84,22,99
13,40,83
69,28,50
71,74,20
58,54,46
51,55,53
82,82,21
82,82,21
95,83,24
83,91,73
73,30,28
20,93,88
90,80,53
94,67,86
90,80,53
47,15,44
28,19,34
82,88,13
71,74,20
15,28,72
34,20,63
75,24,22
46,58,20
38,40,14
65,25,19
24,37,19
38,40,14
14,16,74
60,41,20
89,77,59
22,23,23
10,20,66
78,15,61
81,61,97
92,72,49
81,54,68
32,53,29
56,13,89
63,20,34
96,74,19
54,92,13
98,20,22
75,22,88
56,91,19
49,35,36
85,73,79
20,93,88
86,83,21
66,88,75
63,46,14
69,12,81
19,50,75
27,21,21
15,28,72
50,45,57
28,19,34
19,50,75
20,93,88
46,53,52
82,27,65
23,39,81
64,76,33
64,65,71
49,35,36
86,97,75
69,75,23
23,39,81
66,88,75
46,53,52
98,57,62
52,27,43
48,82,24
94,67,86
71,74,20
41,20,33
69,75,23
41,12,33
79,36,54
84,67,36
81,61,97
38,96,45
96,74,19
30,18,18
69,99,15
43,54,25
71,53,94
73,30,28
94,52,17
92,82,59
86,97,75
51,31,49
38,71,29
82,82,21
29,14,62
32,53,29
50,45,57
19,50,75
28,19,34
17,79,83
46,58,20
29,81,21
67,16,12
81,73,18
28,19,34
48,79,36
67,54,72
20,93,88
63,92,18
68,30,71
67,16,12
22,23,23
94,67,86
60,58,65
92,82,59
49,35,36
82,27,65
86,46,74
16,61,30
37,96,81
87,26,13
22,93,46
17,13,93
56,11,13
29,81,21
83,91,73
78,86,35
94,52,17
58,35,60
82,82,21
74,22,54
11,39,63
22,22,19
41,74,59
47,15,44
48,98,58
28,19,34
74,91,93
47,15,44
59,55,44
81,73,18
52,27,43
66,88,75
24,64,57
49,27,99
87,26,13
44,14,84
92,72,49
23,39,81
86,83,21
74,91,93
74,91,93
69,12,81
55,88,11
20,93,88
69,75,23
67,54,72
92,72,49
98,57,62
32,77,25
56,29,59
37,96,81
27,17,84
86,46,74
78,27,83
87,14,70
32,77,25
92,72,49
56,26,36
25,22,95
29,81,21
55,94,14
32,77,25
86,97,75
56,91,19
64,76,33
43,17,96
64,81,83
76,40,32
38,24,55
69,47,32
77,44,99
55,88,11
21,64,67
78,30,48
51,55,53
89,44,62
79,36,54
19,86,75
92,72,49
36,93,21
29,81,21
34,20,63
21,42,95
28,50,81
28,19,34
39,25,14
62,53,92
47,15,44
53,98,13
18,49,39
67,16,12
23,34,76
94,35,79
63,46,14
74,38,97
22,22,19
81,73,18
43,60,51
20,86,22
43,44,40
84,23,51
21,42,95
28,19,34
95,83,24
71,74,20
77,44,99
78,30,48
94,16,24
66,28,99
33,38,71
84,67,36
26,30,28
31,93,23
60,24,31
16,61,30
37,31,60
48,82,24
71,74,20
94,52,17
65,83,95
16,61,30
15,28,72
71,28,33
28,50,81
21,57,41
71,93,70
22,22,19
49,35,36
29,81,21
43,33,99
54,14,20
37,47,42
98,57,62
78,86,35
54,14,20
99,23,40
36,93,21
51,55,53
87,26,13
98,57,62
15,28,72
26,59,80
26,62,42
84,67,36
81,73,18
16,91,12
90,80,53
40,28,93
55,88,11
52,27,43
79,94,27
87,26,13
55,88,11
28,19,34
34,20,63
53,17,49
56,26,36
86,97,75
23,39,81
14,16,74
16,61,30
22,93,46
93,61,33
71,53,94
31,93,23
64,76,33
54,14,20
29,81,21
22,50,48
38,40,14
80,49,86
38,96,45
84,23,51
74,72,42
19,87,79
87,26,13
58,38,11
49,35,36
87,43,78
94,52,17
55,50,23
28,19,34
38,96,45
94,67,86
82,88,13
16,61,30
89,61,82
42,33,91
60,41,20
23,39,81
64,76,33
71,74,20
95,83,24
49,27,99
69,62,83
68,61,62
78,68,12
78,68,12
98,57,62
37,75,28
55,88,11
65,93,72
82,82,21
29,26,41
90,43,95
37,47,42
51,55,53
29,81,21
37,32,67
10,10,55
78,68,12
60,41,20
56,91,19
54,14,20
60,43,82
42,33,91
11,39,63
49,27,99
93,61,33
15,28,72
56,11,13
28,19,34
91,40,66
92,72,49
47,15,44
94,67,86
71,74,20
29,14,62
21,64,67
39,25,14
93,61,33
81,54,68
19,50,75
78,86,35
60,58,65
89,44,62
51,55,53
94,67,86
15,28,72
23,39,81
76,40,32
49,27,99
55,88,11
59,30,69
60,43,82
56,91,19
43,17,96
88,25,92
15,28,72
74,91,93
16,61,30
26,59,80
78,15,61
95,83,24
64,37,80
11,37,96
99,38,39
44,41,44
33,14,75
61,47,45
81,54,68
17,13,93
55,88,11
72,91,63
39,25,14
94,52,17
90,80,53
53,17,49
59,30,69
60,24,31
97,46,97
33,14,75
71,53,94
67,16,12
11,37,96
72,86,40
84,18,76
51,55,53
74,91,93
71,74,20
94,67,86
30,94,94
64,76,33
87,26,13
32,53,29
43,17,96
65,83,95
78,15,61
43,44,40
22,93,46
78,86,35
59,30,69
41,20,33
21,64,67
95,83,24
55,88,11
96,30,35
97,53,85
48,98,58
90,80,53
65,93,72
37,70,98
54,14,20
28,19,34
19,87,79
84,18,76
64,76,33
59,30,69
60,41,20
65,83,95
43,54,25
11,39,63
10,10,55
43,44,40
65,83,95
52,27,43
76,80,41
99,23,40
23,39,81
17,81,48
78,30,48
85,73,79
64,76,33
25,22,95
78,15,61
38,24,55
69,62,83
64,76,33
65,93,72
58,35,60
94,35,79
40,32,47
32,77,25
15,28,72
44,14,84
91,40,66
50,22,26
84,22,99
84,23,51
52,27,43
22,22,19
19,64,50
10,57,85
37,32,67
84,23,51
19,86,75
89,61,82
99,38,39
19,87,79
28,50,81
71,74,20
74,91,93
94,52,17
29,81,21
22,93,46
98,20,22
84,74,68
78,86,35
29,81,21
55,88,11
60,36,90
34,20,63
60,24,31
29,81,21
79,35,82
16,61,30
78,68,12
81,61,97
78,68,12
82,82,21
42,33,91
17,81,48
79,36,54
24,64,57
48,79,36
41,53,22
62,45,50
54,14,20
82,82,21
94,35,79
33,14,75
40,28,93
21,42,95
99,23,40
39,25,14
11,39,63
32,53,29
51,31,49
48,79,36
26,15,37
47,15,44
81,73,18
64,76,33
97,53,85
69,12,81
86,50,80
95,48,48
64,81,83
95,48,48
20,86,22
99,38,39
22,93,46
19,87,79
19,87,79
60,24,31
55,88,11
22,22,19
56,26,36
83,91,73
46,58,20
29,14,62
60,43,82
56,26,36
25,24,66
56,91,19
33,56,72
18,65,36
81,61,97
67,54,72
54,14,20
34,20,63
98,20,22
90,80,53
71,93,70
78,15,61
91,24,47
78,86,35
29,81,21
84,23,51
10,94,57
62,74,38
84,74,68
82,82,21
64,65,71
63,60,94
46,58,20
62,74,38
84,23,51
60,62,36
52,27,43
83,18,78
66,28,99
75,22,88
60,58,65
16,61,30
49,27,99
16,61,30
94,67,86
19,87,79
77,44,99
14,26,93
68,61,62
94,67,86
47,15,44
90,80,53
95,80,23
41,12,33
34,20,63
66,88,75
85,73,79
56,91,19
93,61,33
37,96,81
64,65,71
40,26,53
71,53,94
40,28,93
49,18,86
33,38,71
20,93,88
67,16,12
10,57,85
74,91,93
92,72,49
28,19,34
38,10,14
41,12,33
73,72,91
67,16,12
23,34,76
10,94,57
69,99,15
18,47,54
38,24,55
35,11,14
46,58,20
44,84,81
10,57,85
48,79,36
69,47,32
58,35,60
56,91,19
22,22,19
82,27,37
44,84,81
74,22,54
64,81,83
53,37,50
