13,-71
0,-52
-69,90
44,43
-79,78
-61,70
23,-3
-64,75
51,62
-26,3
-18,68
16,-14
14,69
22,-70
37,68
3,-56
-89,-99
27,-74
32,-88
73,-78
-94,-1
-92,-93
-66,96
86,13
-84,-70
-99,87
-68,57
8,-21
73,-53
4,63
86,-53
77,-74
-7,52
92,27
-16,-57
-22,8
-1,89
-40,14
-50,-12
-35,32
-69,-41
-87,48
31,16
-25,-52
-99,77
-7,-62
-26,65
-91,-30
68,-83
-50,-17
-62,66
97,25
-48,31
-43,-88
47,75
-77,31
-50,-64
-30,-45
46,31
32,-99
-4,100
-5,-82
-10,-62
-72,-45
33,-52
-24,-17
61,-39
-85,74
7,33
32,-9
8,-27
53,82
-81,-17
86,-65
-77,-3
31,27
-41,-18
45,22
-3,85
92,-62
77,-73
1,-94
85,-63
62,30
-93,34
-55,-96
-2,-77
-5,15
79,-74
-100,-3
2,28
-26,84
72,20
30,-55
73,61
-84,-60
90,-56
94,82
-35,-77
-100,-75
87,74
98,-9
-14,-21
-72,43
-43,-72
-89,7
24,65
5,-12
-89,17
82,53
76,26
55,-57
50,6
-26,-77
30,65
-44,-26
75,-78
-52,41
-69,13
-20,-69
-21,49
57,100
-78,65
6,35
-43,97
-32,-29
62,-30
100,-82
33,51
-9,92
2,-76
75,-51
88,64
-14,-77
-19,-76
17,34
72,85
-82,92
18,-8
4,89
-20,-90
-97,10
79,91
-7,-11
5,-85
-42,-61
14,84
61,-5
49,-100
-47,-28
88,20
52,54
50,-57
-85,59
37,47
-18,-34
40,16
-42,-68
-35,10
27,44
20,-16
-81,72
-21,-52
69,25
-40,-46
27,-13
-16,37
42,78
9,53
-82,-59
86,36
48,79
96,96
27,-29
-35,-26
18,-41
40,-70
-41,-31
8,-70
-26,-77
-78,71
42,44
6,-76
94,-46
-38,-46
42,-39
79,-8
73,-12
-14,-50
61,46
-95,32
-59,-36
-89,-33
10,-13
-3,81
22,-61
-57,4
56,88
80,43
40,99
0,-81
37,-6
-95,-44
50,31
69,96
53,-81
13,72
-81,59
-24,14
62,-66
53,45
-19,94
-94,39
-5,-83
-69,-11
73,-100
-90,-75
-99,-8
72,7
-64,-95
-28,-20
35,42
-100,-12
8,18
69,-79
-77,-92
65,-88
-23,-28
-2,-30
8,25
71,-34
-73,-85
-23,77
88,-19
59,18
19,92
29,-48
91,-74
-23,95
8,-18
-85,40
61,52
-88,-36
75,-61
93,-84
99,-55
7,0
74,69
-24,-5
74,49
-47,-92
-61,34
66,94
-60,-47
57,-71
66,62
-54,56
-10,-8
77,-75
72,-84
-41,-90
-88,-97
41,-71
-68,56
-18,23
-5,-48
25,-13
73,-68
-1,-9
-47,-23
-64,40
78,-72
76,-29
60,29
35,-76
-65,-4
77,-92
-66,-25
69,24
64,-72
-51,18
26,-79
-57,2
-54,-28
44,-38
-70,-94
3,-1
73,36
-88,-100
67,-85
46,-88
-51,46
-13,-24
-100,-77
-18,-40
-18,-70
-54,-49
-18,47
-21,-85
21,99
-98,43
-62,-63
45,0
36,-9
-35,76
50,85
-23,56
-43,94
-46,-88
-16,-34
66,41
-72,54
-85,-77
-79,99
-21,-95
-83,37
-22,-22
66,-72
46,49
80,-14
26,64
90,35
78,-44
